date | value
2011-01-03 | 3
2011-01-03 | 2.2
2011-01-13 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2099-01-11 | 3
1000-01-11 | 3
2009-01-01 | 3.4
1011-01-09 | 1
3011-01-09 | 1
9999-01-09 | 1
1-01-09 | 1
2011-01-09 | 1000000000000000000000000000000
2011-01-09 | 0.000000000000000000000000000000000001
2020-01-01 | 1
2020-02-29 | 1
2020-02-26 | 1
2016-02-29 | 1
2017-02-29 | 1
1900-02-29 | 1
1900-02-28 | 1
2011-13-01 | 1
2011-01-32 | 1
2011-04-31 | 1
9999999-01-09 | 1
2011-99999999999999-09 | 1
2011-01-99999999999999 | 1
2022-03-29 | 1
2022-03-30 | 1
2050-03-30 | 1
2050-03-31 | 10 slkdjfweoiru
